model_base,body_size,cylinder_size,action_type,spring_range,base_price,torque_symmetric,torque_canted,connect_flange,L1,L2,m1,m2,A,H1,H2,D,G
SF10-150DA,SF10,150,DA,,1339,"{""0.3_0"":309,""0.3_45"":185,""0.3_90"":309,""0.4_0"":412,""0.4_45"":247,""0.4_90"":412,""0.5_0"":515,""0.5_45"":309,""0.5_90"":515,""0.6_0"":618,""0.6_45"":371,""0.6_90"":618}","{""0.3_0"":417,""0.3_45"":200,""0.3_90"":282,""0.4_0"":556,""0.4_45"":267,""0.4_90"":376,""0.5_0"":695,""0.5_45"":333,""0.5_90"":470,""0.6_0"":834,""0.6_45"":400,""0.6_90"":564}","ISO 5211 F10",350,127,76,143.5,40,82,100,207,"NPT1/4"""
SF10-170DA,SF10,170,DA,,1507,"{""0.3_0"":399,""0.3_45"":240,""0.3_90"":399,""0.4_0"":533,""0.4_45"":320,""0.4_90"":533,""0.5_0"":666,""0.5_45"":399,""0.5_90"":666,""0.6_0"":799,""0.6_45"":479,""0.6_90"":799}","{""0.3_0"":539,""0.3_45"":259,""0.3_90"":364,""0.4_0"":719,""0.4_45"":345,""0.4_90"":486,""0.5_0"":898,""0.5_45"":431,""0.5_90"":607,""0.6_0"":1078,""0.6_45"":517,""0.6_90"":728}","ISO 5211 F10",350,127,76,155.5,40,82,100,231,"NPT3/8"""
SF12-170DA,SF12,170,DA,,1700,"{""0.3_0"":499,""0.3_45"":300,""0.3_90"":499,""0.4_0"":666,""0.4_45"":399,""0.4_90"":666,""0.5_0"":832,""0.5_45"":499,""0.5_90"":832,""0.6_0"":999,""0.6_45"":599,""0.6_90"":999}","{""0.3_0"":680,""0.3_45"":330,""0.3_90"":461,""0.4_0"":907,""0.4_45"":440,""0.4_90"":614,""0.5_0"":1134,""0.5_45"":550,""0.5_90"":768,""0.6_0"":1361,""0.6_45"":660,""0.6_90"":921}","ISO 5211 F12",391,143,82,165.5,50,84,110,231,"NPT3/8"""
SF12-200DA,SF12,200,DA,,1843,"{""0.3_0"":691,""0.3_45"":415,""0.3_90"":691,""0.4_0"":921,""0.4_45"":553,""0.4_90"":921,""0.5_0"":1152,""0.5_45"":691,""0.5_90"":1152,""0.6_0"":1382,""0.6_45"":829,""0.6_90"":1382}","{""0.3_0"":941,""0.3_45"":456,""0.3_90"":637,""0.4_0"":1255,""0.4_45"":609,""0.4_90"":850,""0.5_0"":1569,""0.5_45"":761,""0.5_90"":1062,""0.6_0"":1883,""0.6_45"":913,""0.6_90"":1275}","ISO 5211 F12",391,143,82,178,50,84,110,255,"NPT3/8"""
SF14-200DA,SF14,200,DA,,2168,"{""0.3_0"":773,""0.3_45"":464,""0.3_90"":773,""0.4_0"":1031,""0.4_45"":619,""0.4_90"":1031,""0.5_0"":1289,""0.5_45"":773,""0.5_90"":1289,""0.6_0"":1547,""0.6_45"":928,""0.6_90"":1547}","{""0.3_0"":1045,""0.3_45"":502,""0.3_90"":706,""0.4_0"":1393,""0.4_45"":670,""0.4_90"":942,""0.5_0"":1741,""0.5_45"":837,""0.5_90"":1177,""0.6_0"":2090,""0.6_45"":1004,""0.6_90"":1413}","ISO 5211 F14",446,173,89,188,60,95,121,255,"NPT3/8"""
SF14-250DA,SF14,250,DA,,2540,"{""0.3_0"":1351,""0.3_45"":810,""0.3_90"":1351,""0.4_0"":1801,""0.4_45"":1081,""0.4_90"":1801,""0.5_0"":2251,""0.5_45"":1351,""0.5_90"":2251,""0.6_0"":2701,""0.6_45"":1621,""0.6_90"":2701}","{""0.3_0"":1825,""0.3_45"":877,""0.3_90"":1234,""0.4_0"":2433,""0.4_45"":1169,""0.4_90"":1645,""0.5_0"":3041,""0.5_45"":1462,""0.5_90"":2056,""0.6_0"":3650,""0.6_45"":1754,""0.6_90"":2467}","ISO 5211 F14",446,173,89,215,60,95,121,310,"NPT1/2"""
SF14-300DA,SF14,300,DA,,2916,"{""0.3_0"":1955,""0.3_45"":1173,""0.3_90"":1955,""0.4_0"":2607,""0.4_45"":1564,""0.4_90"":2607,""0.5_0"":3258,""0.5_45"":1955,""0.5_90"":3258,""0.6_0"":3910,""0.6_45"":2346,""0.6_90"":3910}","{""0.3_0"":2641,""0.3_45"":1269,""0.3_90"":1785,""0.4_0"":3521,""0.4_45"":1692,""0.4_90"":2381,""0.5_0"":4402,""0.5_45"":2116,""0.5_90"":2976,""0.6_0"":5282,""0.6_45"":2539,""0.6_90"":3571}","ISO 5211 F14",446,173,89,242.5,60,95,121,356,"NPT1/2"""
SF16-250DA,SF16,250,DA,,3207,"{""0.3_0"":1682,""0.3_45"":1009,""0.3_90"":1682,""0.4_0"":2243,""0.4_45"":1346,""0.4_90"":2243,""0.5_0"":2804,""0.5_45"":1682,""0.5_90"":2804,""0.6_0"":3364,""0.6_45"":2019,""0.6_90"":3364}","{""0.3_0"":2265,""0.3_45"":1084,""0.3_90"":1530,""0.4_0"":3020,""0.4_45"":1446,""0.4_90"":2040,""0.5_0"":3775,""0.5_45"":1807,""0.5_90"":2550,""0.6_0"":4530,""0.6_45"":2169,""0.6_90"":3060}","ISO 5211 F16",513,198,112,230,75,107,139,310,"NPT1/2"""
SF16-300DA,SF16,300,DA,,3609,"{""0.3_0"":2437,""0.3_45"":1462,""0.3_90"":2437,""0.4_0"":3250,""0.4_45"":1950,""0.4_90"":3250,""0.5_0"":4062,""0.5_45"":2437,""0.5_90"":4062,""0.6_0"":4875,""0.6_45"":2925,""0.6_90"":4875}","{""0.3_0"":3282,""0.3_45"":1571,""0.3_90"":2217,""0.4_0"":4376,""0.4_45"":2095,""0.4_90"":2956,""0.5_0"":5470,""0.5_45"":2619,""0.5_90"":3695,""0.6_0"":6564,""0.6_45"":3143,""0.6_90"":4434}","ISO 5211 F16",513,198,112,257.5,75,107,139,365,"NPT1/2"""
SF16-350DA,SF16,350,DA,,4063,"{""0.3_0"":3312,""0.3_45"":1987,""0.3_90"":3312,""0.4_0"":4416,""0.4_45"":2649,""0.4_90"":4416,""0.5_0"":5520,""0.5_45"":3312,""0.5_90"":5520,""0.6_0"":6623,""0.6_45"":3974,""0.6_90"":6623}","{""0.3_0"":4459,""0.3_45"":2135,""0.3_90"":3012,""0.4_0"":5945,""0.4_45"":2847,""0.4_90"":4016,""0.5_0"":7432,""0.5_45"":3558,""0.5_90"":5021,""0.6_0"":8918,""0.6_45"":4270,""0.6_90"":6025}","ISO 5211 F16",513,198,112,282.5,75,107,139,415,"NPT1/2"""
SF25-350DA,SF25,350,DA,,5225,"{""0.3_0"":3956,""0.3_45"":2373,""0.3_90"":3956,""0.4_0"":5274,""0.4_45"":3165,""0.4_90"":5274,""0.5_0"":6593,""0.5_45"":3956,""0.5_90"":6593,""0.6_0"":7912,""0.6_45"":4747,""0.6_90"":7912}","{""0.3_0"":5334,""0.3_45"":2558,""0.3_90"":3605,""0.4_0"":7112,""0.4_45"":3411,""0.4_90"":4806,""0.5_0"":8891,""0.5_45"":4264,""0.5_90"":6008,""0.6_0"":10669,""0.6_45"":5116,""0.6_90"":7209}","ISO 5211 F25",592,227,150,297.5,90,118,160,415,"NPT1/2"""
SF25-400DA,SF25,400,DA,,5771,"{""0.3_0"":5036,""0.3_45"":3022,""0.3_90"":5036,""0.4_0"":6715,""0.4_45"":4029,""0.4_90"":6715,""0.5_0"":8393,""0.5_45"":5036,""0.5_90"":8393,""0.6_0"":10072,""0.6_45"":6043,""0.6_90"":10072}","{""0.3_0"":6791,""0.3_45"":3257,""0.3_90"":4589,""0.4_0"":9055,""0.4_45"":4342,""0.4_90"":6118,""0.5_0"":11318,""0.5_45"":5428,""0.5_90"":7648,""0.6_0"":13582,""0.6_45"":6513,""0.6_90"":9178}","ISO 5211 F25",597,227,150,318,90,118,160,456,"NPT3/4"""
SF25-450DA,SF25,450,DA,,6505,"{""0.3_0"":6387,""0.3_45"":3832,""0.3_90"":6387,""0.4_0"":8516,""0.4_45"":5110,""0.4_90"":8516,""0.5_0"":10645,""0.5_45"":6387,""0.5_90"":10645,""0.6_0"":12774,""0.6_45"":7664,""0.6_90"":12774}","{""0.3_0"":8613,""0.3_45"":4130,""0.3_90"":5820,""0.4_0"":11484,""0.4_45"":5507,""0.4_90"":7760,""0.5_0"":14355,""0.5_45"":6884,""0.5_90"":9700,""0.6_0"":17226,""0.6_45"":8261,""0.6_90"":11640}","ISO 5211 F25",605,227,150,348,90,118,160,516,"NPT3/4"""
SF30-450DA,SF30,450,DA,,8686,"{""0.3_0"":7790,""0.3_45"":4674,""0.3_90"":7790,""0.4_0"":10387,""0.4_45"":6232,""0.4_90"":10387,""0.5_0"":12983,""0.5_45"":7790,""0.5_90"":12983,""0.6_0"":15580,""0.6_45"":9348,""0.6_90"":15580}","{""0.3_0"":10497,""0.3_45"":5030,""0.3_90"":7092,""0.4_0"":13996,""0.4_45"":6707,""0.4_90"":9456,""0.5_0"":17495,""0.5_45"":8384,""0.5_90"":11820,""0.6_0"":20994,""0.6_45"":10061,""0.6_90"":14184}","ISO 5211 F30",715,277,175,368,110,144,176,516,"NPT3/4"""
SF30-500DA,SF30,500,DA,,9286,"{""0.3_0"":9636,""0.3_45"":5781,""0.3_90"":9636,""0.4_0"":12848,""0.4_45"":7709,""0.4_90"":12848,""0.5_0"":16060,""0.5_45"":9636,""0.5_90"":16060,""0.6_0"":19272,""0.6_45"":11563,""0.6_90"":19272}","{""0.3_0"":12985,""0.3_45"":6222,""0.3_90"":8773,""0.4_0"":17313,""0.4_45"":8296,""0.4_90"":11697,""0.5_0"":21641,""0.5_45"":10371,""0.5_90"":14621,""0.6_0"":25969,""0.6_45"":12445,""0.6_90"":17546}","ISO 5211 F30",715,277,175,395,110,144,176,570,"NPT3/4"""
SF30-550DA,SF30,550,DA,,10206,"{""0.3_0"":11676,""0.3_45"":7005,""0.3_90"":11676,""0.4_0"":15568,""0.4_45"":9340,""0.4_90"":15568,""0.5_0"":19460,""0.5_45"":11676,""0.5_90"":19460,""0.6_0"":23352,""0.6_45"":14011,""0.6_90"":23352}","{""0.3_0"":15733,""0.3_45"":7540,""0.3_90"":10630,""0.4_0"":20978,""0.4_45"":10053,""0.4_90"":14173,""0.5_0"":26222,""0.5_45"":12566,""0.5_90"":17717,""0.6_0"":31467,""0.6_45"":15079,""0.6_90"":21260}","ISO 5211 F30",715,277,175,420,110,144,176,620,"NPT3/4"""
SF35-550DA,SF35,550,DA,,14065,"{""0.3_0"":14811,""0.3_45"":8886,""0.3_90"":14811,""0.4_0"":19748,""0.4_45"":11848,""0.4_90"":19748,""0.5_0"":24685,""0.5_45"":14810,""0.5_90"":24685,""0.6_0"":29621,""0.6_45"":17773,""0.6_90"":29621}","{""0.3_0"":19922,""0.3_45"":9527,""0.3_90"":13455,""0.4_0"":26563,""0.4_45"":12703,""0.4_90"":17940,""0.5_0"":33204,""0.5_45"":15879,""0.5_90"":22425,""0.6_0"":39844,""0.6_45"":19055,""0.6_90"":26910}","ISO 5211 F35",833,334,207.5,450,140,181,194,620,"NPT3/4"""
SF35-600DA,SF35,600,DA,,15360,"{""0.3_0"":17654,""0.3_45"":10592,""0.3_90"":17654,""0.4_0"":23539,""0.4_45"":14123,""0.4_90"":23539,""0.5_0"":29424,""0.5_45"":17654,""0.5_90"":29424,""0.6_0"":35309,""0.6_45"":21185,""0.6_90"":35309}","{""0.3_0"":23747,""0.3_45"":11357,""0.3_90"":16039,""0.4_0"":31663,""0.4_45"":15142,""0.4_90"":21385,""0.5_0"":39579,""0.5_45"":18928,""0.5_90"":26731,""0.6_0"":47494,""0.6_45"":22713,""0.6_90"":32077}","ISO 5211 F35",851,334,207.5,475,140,181,194,670,"NPT1"""
SF35-700DA,SF35,700,DA,,17585,"{""0.3_0"":24084,""0.3_45"":14450,""0.3_90"":24084,""0.4_0"":32112,""0.4_45"":19267,""0.4_90"":32112,""0.5_0"":40139,""0.5_45"":24083,""0.5_90"":40139,""0.6_0"":48167,""0.6_45"":28900,""0.6_90"":48167}","{""0.3_0"":32395,""0.3_45"":15493,""0.3_90"":21879,""0.4_0"":43194,""0.4_45"":20657,""0.4_90"":29173,""0.5_0"":53992,""0.5_45"":25821,""0.5_90"":36466,""0.6_0"":64791,""0.6_45"":30985,""0.6_90"":43759}","ISO 5211 F35",851,334,207.5,525,140,181,194,770,"NPT1"""
SF40-600DA,SF40,600,DA,,19682,"{""0.3_0"":21325,""0.3_45"":12795,""0.3_90"":21325,""0.4_0"":28433,""0.4_45"":17060,""0.4_90"":28433,""0.5_0"":35542,""0.5_45"":21325,""0.5_90"":35542,""0.6_0"":42650,""0.6_45"":25590,""0.6_90"":42650}","{""0.3_0"":28706,""0.3_45"":13740,""0.3_90"":19390,""0.4_0"":38275,""0.4_45"":18320,""0.4_90"":25854,""0.5_0"":47843,""0.5_45"":22899,""0.5_90"":32317,""0.6_0"":57412,""0.6_45"":27479,""0.6_90"":38781}","ISO 5211 F40",982,401,237.5,505,170,196,216,670,"NPT1"""
SF40-700DA,SF40,700,DA,,22059,"{""0.3_0"":29132,""0.3_45"":17479,""0.3_90"":29132,""0.4_0"":38843,""0.4_45"":23305,""0.4_90"":38843,""0.5_0"":48553,""0.5_45"":29131,""0.5_90"":48553,""0.6_0"":58264,""0.6_45"":34958,""0.6_90"":58264}","{""0.3_0"":39215,""0.3_45"":18770,""0.3_90"":26489,""0.4_0"":52287,""0.4_45"":25026,""0.4_90"":35319,""0.5_0"":65358,""0.5_45"":31283,""0.5_90"":44148,""0.6_0"":78430,""0.6_45"":37539,""0.6_90"":52978}","ISO 5211 F40",982,401,237.5,555,170,196,216,770,"NPT1"""
SF40-800DA,SF40,800,DA,,25663,"{""0.3_0"":38140,""0.3_45"":22884,""0.3_90"":38140,""0.4_0"":50853,""0.4_45"":30511,""0.4_90"":50853,""0.5_0"":63567,""0.5_45"":38139,""0.5_90"":63567,""0.6_0"":76280,""0.6_45"":45767,""0.6_90"":76280}","{""0.3_0"":51341,""0.3_45"":24574,""0.3_90"":34680,""0.4_0"":68455,""0.4_45"":32765,""0.4_90"":46240,""0.5_0"":85568,""0.5_45"":40956,""0.5_90"":57800,""0.6_0"":102682,""0.6_45"":49147,""0.6_90"":69360}","ISO 5211 F40",986,401,237.5,610,170,196,216,880,"NPT1.1/2"""
SF48-800DA,SF48,800,DA,,31284,"{""0.3_0"":44819,""0.3_45"":26891,""0.3_90"":44819,""0.4_0"":59759,""0.4_45"":35855,""0.4_90"":59759,""0.5_0"":74699,""0.5_45"":44819,""0.5_90"":74699,""0.6_0"":89639,""0.6_45"":53782,""0.6_90"":89639}","{""0.3_0"":60592,""0.3_45"":29141,""0.3_90"":40966,""0.4_0"":80789,""0.4_45"":38855,""0.4_90"":54622,""0.5_0"":100987,""0.5_45"":48569,""0.5_90"":68277,""0.6_0"":121184,""0.6_45"":58282,""0.6_90"":81933}","ISO 5211 F48",1131,455,280,640,200,224,243,880,"NPT1.1/2"""
SF48-900DA,SF48,900,DA,,35684,"{""0.3_0"":56830,""0.3_45"":34097,""0.3_90"":56830,""0.4_0"":75773,""0.4_45"":45463,""0.4_90"":75773,""0.5_0"":94717,""0.5_45"":56829,""0.5_90"":94717,""0.6_0"":113660,""0.6_45"":68195,""0.6_90"":113660}","{""0.3_0"":76830,""0.3_45"":36950,""0.3_90"":51945,""0.4_0"":102439,""0.4_45"":49267,""0.4_90"":69260,""0.5_0"":128049,""0.5_45"":61584,""0.5_90"":86575,""0.6_0"":153659,""0.6_45"":73901,""0.6_90"":103889}","ISO 5211 F48",1151,455,280,695,200,224,243,990,"NPT2"""
SF48-1000DA,SF48,1000,DA,,39474,"{""0.3_0"":70254,""0.3_45"":42152,""0.3_90"":70254,""0.4_0"":93672,""0.4_45"":56202,""0.4_90"":93672,""0.5_0"":117090,""0.5_45"":70253,""0.5_90"":117090,""0.6_0"":140508,""0.6_45"":84303,""0.6_90"":140508}","{""0.3_0"":94977,""0.3_45"":45678,""0.3_90"":64215,""0.4_0"":126637,""0.4_45"":60905,""0.4_90"":85619,""0.5_0"":158296,""0.5_45"":76131,""0.5_90"":107024,""0.6_0"":189955,""0.6_45"":91357,""0.6_90"":128429}","ISO 5211 F48",1151,455,280,745,200,224,243,1090,"NPT2"""
SF60-800DA,SF60,800,DA,,42504,"{""0.3_0"":60270,""0.3_45"":36161,""0.3_90"":60270,""0.4_0"":80360,""0.4_45"":48215,""0.4_90"":80360,""0.5_0"":100450,""0.5_45"":60269,""0.5_90"":100450,""0.6_0"":120540,""0.6_45"":72323,""0.6_90"":120540}","{""0.3_0"":80794,""0.3_45"":38487,""0.3_90"":54523,""0.4_0"":107725,""0.4_45"":51317,""0.4_90"":72698,""0.5_0"":134657,""0.5_45"":64146,""0.5_90"":90872,""0.6_0"":161588,""0.6_45"":76975,""0.6_90"":109046}","ISO 5211 F60",1395,567,343,710,270,230,258,880,"NPT1.1/2"""
SF60-900DA,SF60,900,DA,,47104,"{""0.3_0"":76485,""0.3_45"":45890,""0.3_90"":76485,""0.4_0"":101979,""0.4_45"":61186,""0.4_90"":101979,""0.5_0"":127474,""0.5_45"":76483,""0.5_90"":127474,""0.6_0"":152969,""0.6_45"":91780,""0.6_90"":152969}","{""0.3_0"":102530,""0.3_45"":48842,""0.3_90"":69192,""0.4_0"":136707,""0.4_45"":65122,""0.4_90"":92255,""0.5_0"":170883,""0.5_45"":81403,""0.5_90"":115319,""0.6_0"":205060,""0.6_45"":97683,""0.6_90"":138383}","ISO 5211 F60",1415,567,343,765,270,230,258,990,"NPT2"""
SF60-1000DA,SF60,1000,DA,,51118,"{""0.3_0"":94607,""0.3_45"":56763,""0.3_90"":94607,""0.4_0"":126142,""0.4_45"":75684,""0.4_90"":126142,""0.5_0"":157678,""0.5_45"":94605,""0.5_90"":157678,""0.6_0"":189213,""0.6_45"":113526,""0.6_90"":189213}","{""0.3_0"":126823,""0.3_45"":60414,""0.3_90"":85586,""0.4_0"":169098,""0.4_45"":80552,""0.4_90"":114114,""0.5_0"":211372,""0.5_45"":100690,""0.5_90"":142643,""0.6_0"":253646,""0.6_45"":120828,""0.6_90"":171171}","ISO 5211 F60",1415,567,343,815,270,230,258,1090,"NPT2"""
SF60-1100DA,SF60,1100,DA,,55194,"{""0.3_0"":114636,""0.3_45"":68780,""0.3_90"":114636,""0.4_0"":152848,""0.4_45"":91707,""0.4_90"":152848,""0.5_0"":191060,""0.5_45"":114634,""0.5_90"":191060,""0.6_0"":229272,""0.6_45"":137561,""0.6_90"":229272}","{""0.3_0"":153674,""0.3_45"":73205,""0.3_90"":103705,""0.4_0"":204898,""0.4_45"":97606,""0.4_90"":138274,""0.5_0"":256123,""0.5_45"":122008,""0.5_90"":172842,""0.6_0"":307347,""0.6_45"":146410,""0.6_90"":207411}","ISO 5211 F60",1415,567,343,865,270,230,258,1190,"NPT2"""SF10-150SR3,SF10,150,SR,SR3,1716,"{""sst"":187,""srt"":91,""set"":118,""ast_0.3"":183,""art_0.3"":89,""aet_0.3"":115,""ast_0.4"":293,""art_0.4"":155,""aet_0.4"":225,""ast_0.5"":396,""art_0.5"":217,""aet_0.5"":328}","{""sst"":162,""srt"":100,""set"":152,""ast_0.3"":260,""art_0.3"":100,""aet_0.3"":113,""ast_0.4"":399,""art_0.4"":167,""aet_0.4"":207,""ast_0.5"":538,""art_0.5"":234,""aet_0.5"":301}","ISO 5211 F10",350,467,76,143.5,40,82,100,207,"NPT1/4"""
SF10-150SR4,SF10,150,SR,SR4,1735,"{""sst"":230,""srt"":115,""set"":153,""ast_0.3"":155,""art_0.3"":70,""aet_0.3"":78,""ast_0.4"":250,""art_0.4"":127,""aet_0.4"":173,""ast_0.5"":361,""art_0.5"":193,""aet_0.5"":284}","{""sst"":200,""srt"":125,""set"":197,""ast_0.3"":214,""art_0.3"":75,""aet_0.3"":74,""ast_0.4"":353,""art_0.4"":142,""aet_0.4"":168,""ast_0.5"":492,""art_0.5"":208,""aet_0.5"":262}","ISO 5211 F10",350,467,76,143.5,40,82,100,207,"NPT1/4"""
SF10-150SR5,SF10,150,SR,SR5,1759,"{""sst"":293,""srt"":148,""set"":201,""ast_0.3"":210,""art_0.3"":98,""aet_0.3"":118,""ast_0.4"":303,""art_0.4"":154,""aet_0.4"":211,""ast_0.5"":416,""art_0.5"":222,""aet_0.5"":324}","{""sst"":253,""srt"":161,""set"":257,""ast_0.3"":290,""art_0.3"":106,""aet_0.3"":111,""ast_0.4"":429,""art_0.4"":173,""aet_0.4"":205,""ast_0.5"":568,""art_0.5"":239,""aet_0.5"":299}","ISO 5211 F10",350,467,76,143.5,40,82,100,207,"NPT1/4"""
SF10-150SR6,SF10,150,SR,SR6,1904,"{""sst"":383,""srt"":193,""set"":260,""ast_0.3"":254,""art_0.3"":115,""aet_0.3"":131,""ast_0.4"":345,""art_0.4"":170,""aet_0.4"":222,""ast_0.5"":464,""art_0.5"":239,""aet_0.5"":343}","{""sst"":331,""srt"":209,""set"":333,""ast_0.3"":351,""art_0.3"":124,""aet_0.3"":124,""ast_0.4"":490,""art_0.4"":191,""aet_0.4"":218,""ast_0.5"":629,""art_0.5"":258,""aet_0.5"":312}","ISO 5211 F10",350,467,76,143.5,40,82,100,207,"NPT1/4"""
SF10-170SR3,SF10,170,SR,SR3,1903,"{""sst"":230,""srt"":115,""set"":153,""ast_0.3"":237,""art_0.3"":119,""aet_0.3"":161,""ast_0.4"":379,""art_0.4"":204,""aet_0.4"":302,""ast_0.5"":512,""art_0.5"":284,""aet_0.5"":435}","{""sst"":200,""srt"":125,""set"":197,""ast_0.3"":336,""art_0.3"":133,""aet_0.3"":156,""ast_0.4"":515,""art_0.4"":220,""aet_0.4"":278,""ast_0.5"":695,""art_0.5"":306,""aet_0.5"":399}","ISO 5211 F10",350,467,76,155.5,40,82,100,231,"NPT3/8"""
SF10-170SR4,SF10,170,SR,SR4,1927,"{""sst"":293,""srt"":148,""set"":201,""ast_0.3"":198,""art_0.3"":91,""aet_0.3"":106,""ast_0.4"":320,""art_0.4"":164,""aet_0.4"":228,""ast_0.5"":464,""art_0.5"":251,""aet_0.5"":372}","{""sst"":253,""srt"":161,""set"":257,""ast_0.3"":273,""art_0.3"":98,""aet_0.3"":100,""ast_0.4"":453,""art_0.4"":184,""aet_0.4"":221,""ast_0.5"":632,""art_0.5"":270,""aet_0.5"":343}","ISO 5211 F10",350,467,76,155.5,40,82,100,231,"NPT3/8"""
SF10-170SR5,SF10,170,SR,SR5,2073,"{""sst"":383,""srt"":193,""set"":260,""ast_0.3"":271,""art_0.3"":126,""aet_0.3"":149,""ast_0.4"":391,""art_0.4"":198,""aet_0.4"":269,""ast_0.5"":538,""art_0.5"":286,""aet_0.5"":415}","{""sst"":331,""srt"":209,""set"":333,""ast_0.3"":374,""art_0.3"":135,""aet_0.3"":140,""ast_0.4"":554,""art_0.4"":222,""aet_0.4"":262,""ast_0.5"":734,""art_0.5"":308,""aet_0.5"":383}","ISO 5211 F10",350,467,76,155.5,40,82,100,231,"NPT3/8"""
SF10-170SR6,SF10,170,SR,SR6,2116,"{""sst"":489,""srt"":242,""set"":319,""ast_0.3"":346,""art_0.3"":156,""aet_0.3"":175,""ast_0.4"":463,""art_0.4"":227,""aet_0.4"":293,""ast_0.5"":617,""art_0.5"":316,""aet_0.5"":448}","{""sst"":423,""srt"":263,""set"":407,""ast_0.3"":477,""art_0.3"":168,""aet_0.3"":166,""ast_0.4"":657,""art_0.4"":254,""aet_0.4"":287,""ast_0.5"":836,""art_0.5"":340,""aet_0.5"":409}","ISO 5211 F10",350,467,76,155.5,40,82,100,231,"NPT3/8"""
SF12-170SR3,SF12,170,SR,SR3,2239,"{""sst"":285,""srt"":141,""set"":187,""ast_0.3"":299,""art_0.3"":150,""aet_0.3"":201,""ast_0.4"":478,""art_0.4"":257,""aet_0.4"":380,""ast_0.5"":645,""art_0.5"":357,""aet_0.5"":546}","{""sst"":247,""srt"":157,""set"":239,""ast_0.3"":431,""art_0.3"":173,""aet_0.3"":201,""ast_0.4"":658,""art_0.4"":283,""aet_0.4"":354,""ast_0.5"":885,""art_0.5"":393,""aet_0.5"":508}","ISO 5211 F12",391,510,82,165.5,50,84,110,231,"NPT3/8"""
SF12-170SR4,SF12,170,SR,SR4,2263,"{""sst"":369,""srt"":184,""set"":246,""ast_0.3"":252,""art_0.3"":114,""aet_0.3"":129,""ast_0.4"":402,""art_0.4"":204,""aet_0.4"":278,""ast_0.5"":585,""art_0.5"":314,""aet_0.5"":462}","{""sst"":320,""srt"":205,""set"":315,""ast_0.3"":352,""art_0.3"":125,""aet_0.3"":124,""ast_0.4"":578,""art_0.4"":235,""aet_0.4"":277,""ast_0.5"":805,""art_0.5"":345,""aet_0.5"":431}","ISO 5211 F12",391,510,82,165.5,50,84,110,231,"NPT3/8"""
SF12-170SR5,SF12,170,SR,SR5,2375,"{""sst"":487,""srt"":244,""set"":327,""ast_0.3"":338,""art_0.3"":155,""aet_0.3"":178,""ast_0.4"":483,""art_0.4"":242,""aet_0.4"":323,""ast_0.5"":671,""art_0.5"":354,""aet_0.5"":511}","{""sst"":422,""srt"":270,""set"":419,""ast_0.3"":470,""art_0.3"":169,""aet_0.3"":170,""ast_0.4"":697,""art_0.4"":279,""aet_0.4"":324,""ast_0.5"":924,""art_0.5"":389,""aet_0.5"":477}","ISO 5211 F12",391,510,82,165.5,50,84,110,231,"NPT3/8"""
SF12-170SR6,SF12,170,SR,SR6,2409,"{""sst"":526,""srt"":267,""set"":364,""ast_0.3"":467,""art_0.3"":232,""aet_0.3"":305,""ast_0.4"":608,""art_0.4"":316,""aet_0.4"":446,""ast_0.5"":805,""art_0.5"":432,""aet_0.5"":645}","{""sst"":456,""srt"":295,""set"":466,""ast_0.3"":648,""art_0.3"":255,""aet_0.3"":288,""ast_0.4"":874,""art_0.4"":365,""aet_0.4"":442,""ast_0.5"":1101,""art_0.5"":474,""aet_0.5"":595}","ISO 5211 F12",391,510,82,165.5,50,84,110,231,"NPT3/8"""
SF12-200SR3,SF12,200,SR,SR3,2406,"{""sst"":369,""srt"":184,""set"":246,""ast_0.3"":432,""art_0.3"":222,""aet_0.3"":308,""ast_0.4"":680,""art_0.4"":371,""aet_0.4"":557,""ast_0.5"":912,""art_0.5"":510,""aet_0.5"":789}","{""sst"":320,""srt"":205,""set"":315,""ast_0.3"":352,""art_0.3"":125,""aet_0.3"":124,""ast_0.4"":578,""art_0.4"":235,""aet_0.4"":277,""ast_0.5"":805,""art_0.5"":345,""aet_0.5"":431}","ISO 5211 F12",391,510,82,165.5,50,84,110,255,"NPT3/8"""
SF12-200SR4,SF12,200,SR,SR4,2572,"{""sst"":526,""srt"":267,""set"":364,""ast_0.3"":330,""art_0.3"":149,""aet_0.3"":168,""ast_0.4"":540,""art_0.4"":275,""aet_0.4"":378,""ast_0.5"":794,""art_0.5"":428,""aet_0.5"":632}","{""sst"":456,""srt"":295,""set"":466,""ast_0.3"":194,""art_0.3"":35,""aet_0.3"":-19,""ast_0.4"":421,""art_0.4"":145,""aet_0.4"":135,""ast_0.5"":648,""art_0.5"":255,""aet_0.5"":288}","ISO 5211 F12",391,510,82,165.5,50,84,110,255,"NPT3/8"""
SF12-200SR5,SF12,200,SR,SR5,2625,"{""sst"":699,""srt"":346,""set"":454,""ast_0.3"":473,""art_0.3"":71,""aet_0.3"":227,""ast_0.4"":677,""art_0.4"":332,""aet_0.4"":431,""ast_0.5"":936,""art_0.5"":488,""aet_0.5"":691}","{""sst"":606,""srt"":383,""set"":580,""ast_0.3"":302,""art_0.3"":56,""aet_0.3"":-23,""ast_0.4"":529,""art_0.4"":166,""aet_0.4"":130,""ast_0.5"":756,""art_0.5"":276,""aet_0.5"":284}","ISO 5211 F12",391,510,82,165.5,50,84,110,255,"NPT3/8"""
