model_base,body_size,cylinder_size,action_type,spring_range,base_price,torque_symmetric,torque_canted,connect_flange,L1,L2,m1,m2,A,H1,H2,D,G
SF30-450SR4,SF30,450,SR,SR4,14686,"{""sst"":6329,""srt"":3146,""set"":3820,""ast_0.3"":3780,""art_0.3"":1450,""aet_0.3"":1186,""ast_0.4"":6461,""art_0.4"":3228,""aet_0.4"":3952,""ast_0.5"":8974,""art_0.5"":4606,""aet_0.5"":6379}","{""sst"":5701,""srt"":3456,""set"":5100,""ast_0.3"":5228,""art_0.3"":1574,""aet_0.3"":1156,""ast_0.4"":8727,""art_0.4"":3251,""aet_0.4"":3520,""ast_0.5"":12226,""art_0.5"":4928,""aet_0.5"":5884}","ISO 5211 F30",715,1165,175,368,110,144,176,516,"NPT3/4"""
SF30-450SR5,SF30,450,SR,SR5,14778,"{""sst"":7929,""srt"":3968,""set"":4869,""ast_0.3"":5455,""art_0.3"":2277,""aet_0.3"":2134,""ast_0.4"":7892,""art_0.4"":4001,""aet_0.4"":4922,""ast_0.5"":10649,""art_0.5"":5393,""aet_0.5"":7327}","{""sst"":7125,""srt"":4296,""set"":6269,""ast_0.3"":7519,""art_0.3"":2411,""aet_0.3"":2038,""ast_0.4"":11018,""art_0.4"":4088,""aet_0.4"":4402,""ast_0.5"":14517,""art_0.5"":5765,""aet_0.5"":6766}","ISO 5211 F30",715,1165,175,368,110,144,176,516,"NPT3/4"""
SF30-450SR6,SF30,450,SR,SR6,15954,"{""sst"":9375,""srt"":4712,""set"":5824,""ast_0.3"":7283,""art_0.3"":3263,""aet_0.3"":3595,""ast_0.4"":9598,""art_0.4"":4850,""aet_0.4"":6046,""ast_0.5"":12549,""art_0.5"":6379,""aet_0.5"":8907}","{""sst"":8106,""srt"":4913,""set"":7250,""ast_0.3"":10004,""art_0.3"":3471,""aet_0.3"":3381,""ast_0.4"":13503,""art_0.4"":5148,""aet_0.4"":5745,""ast_0.5"":17002,""art_0.5"":6824,""aet_0.5"":8109}","ISO 5211 F30",715,1165,175,368,110,144,176,516,"NPT3/4"""
SF30-500SR3,SF30,500,SR,SR3,14704,"{""sst"":6044,""srt"":2969,""set"":3535,""ast_0.3"":5984,""art_0.3"":2932,""aet_0.3"":3475,""ast_0.4"":9189,""art_0.4"":4824,""aet_0.4"":6893,""ast_0.5"":12401,""art_0.5"":6751,""aet_0.5"":10104}","{""sst"":5141,""srt"":3129,""set"":4655,""ast_0.3"":8175,""art_0.3"":3094,""aet_0.3"":3420,""ast_0.4"":12503,""art_0.4"":5168,""aet_0.4"":6344,""ast_0.5"":16831,""art_0.5"":7242,""aet_0.5"":9269}","ISO 5211 F30",715,1165,175,395,110,144,176,570,"NPT3/4"""
SF30-500SR4,SF30,500,SR,SR4,15378,"{""sst"":7929,""srt"":3967,""set"":4869,""ast_0.3"":4704,""art_0.3"":1826,""aet_0.3"":1383,""ast_0.4"":7824,""art_0.4"":3902,""aet_0.4"":4763,""ast_0.5"":11128,""art_0.5"":5680,""aet_0.5"":7807}","{""sst"":7125,""srt"":4296,""set"":6269,""ast_0.3"":6507,""art_0.3"":1927,""aet_0.3"":1354,""ast_0.4"":10835,""art_0.4"":4001,""aet_0.4"":4279,""ast_0.5"":15163,""art_0.5"":6075,""aet_0.5"":7203}","ISO 5211 F30",715,1165,175,395,110,144,176,570,"NPT3/4"""
SF30-500SR5,SF30,500,SR,SR5,16554,"{""sst"":9375,""srt"":4712,""set"":5824,""ast_0.3"":7147,""art_0.3"":3182,""aet_0.3"":3459,""ast_0.4"":10042,""art_0.4"":5125,""aet_0.4"":6490,""ast_0.5"":13571,""art_0.5"":7036,""aet_0.5"":9883}","{""sst"":8106,""srt"":4913,""set"":7250,""ast_0.3"":9821,""art_0.3"":3383,""aet_0.3"":3258,""ast_0.4"":14149,""art_0.4"":5457,""aet_0.4"":6182,""ast_0.5"":18478,""art_0.5"":7532,""aet_0.5"":9106}","ISO 5211 F30",715,1165,175,395,110,144,176,570,"NPT3/4"""
SF30-500SR6,SF30,500,SR,SR6,18204,"{""sst"":11426,""srt"":5741,""set"":7092,""ast_0.3"":8798,""art_0.3"":3946,""aet_0.3"":4355,""ast_0.4"":11962,""art_0.4"":6064,""aet_0.4"":7613,""ast_0.5"":15314,""art_0.5"":7801,""aet_0.5"":10927}","{""sst"":10105,""srt"":6170,""set"":9242,""ast_0.3"":12091,""art_0.3"":4200,""aet_0.3"":4100,""ast_0.4"":16419,""art_0.4"":6274,""aet_0.4"":7025,""ast_0.5"":20747,""art_0.5"":8348,""aet_0.5"":9949}","ISO 5211 F30",715,1165,175,395,110,144,176,570,"NPT3/4"""
SF30-550SR3,SF30,550,SR,SR3,16206,"{""sst"":6867,""srt"":3477,""set"":4349,""ast_0.3"":7169,""art_0.3"":3664,""aet_0.3"":4651,""ast_0.4"":11558,""art_0.4"":6156,""aet_0.4"":8964,""ast_0.5"":15450,""art_0.5"":8491,""aet_0.5"":12856}","{""sst"":5701,""srt"":3456,""set"":5100,""ast_0.3"":10464,""art_0.3"":4084,""aet_0.3"":4694,""ast_0.4"":15709,""art_0.4"":6597,""aet_0.4"":8237,""ast_0.5"":20953,""art_0.5"":9110,""aet_0.5"":11781}","ISO 5211 F30",715,1165,175,420,110,144,176,620,"NPT3/4"""
SF30-550SR4,SF30,550,SR,SR4,17474,"{""sst"":9375,""srt"":4814,""set"":5824,""ast_0.3"":5975,""art_0.3"":2479,""aet_0.3"":2287,""ast_0.4"":9534,""art_0.4"":4708,""aet_0.4"":5983,""ast_0.5"":13759,""art_0.5"":7149,""aet_0.5"":10071}","{""sst"":8106,""srt"":4913,""set"":7250,""ast_0.3"":7453,""art_0.3"":2470,""aet_0.3"":1913,""ast_0.4"":11781,""art_0.4"":4544,""aet_0.4"":4798,""ast_0.5"":16109,""art_0.5"":6618,""aet_0.5"":7683}","ISO 5211 F30",715,1165,175,420,110,144,176,620,"NPT3/4"""
SF30-550SR5,SF30,550,SR,SR5,19124,"{""sst"":11426,""srt"":5741,""set"":7092,""ast_0.3"":8306,""art_0.3"":3651,""aet_0.3"":3863,""ast_0.4"":12106,""art_0.4"":6162,""aet_0.4"":7772,""ast_0.5"":16090,""art_0.5"":8321,""aet_0.5"":11647}","{""sst"":10105,""srt"":6170,""set"":9242,""ast_0.3"":10638,""art_0.3"":3976,""aet_0.3"":3850,""ast_0.4"":14966,""art_0.4"":6050,""aet_0.4"":6775,""ast_0.5"":19294,""art_0.5"":8124,""aet_0.5"":9700}","ISO 5211 F30",715,1165,175,420,110,144,176,620,"NPT3/4"""
SF30-550SR6,SF30,550,SR,SR6,20041,"{""sst"":14080,""srt"":6952,""set"":8344,""ast_0.3"":10923,""art_0.3"":5071,""aet_0.3"":5983,""ast_0.4"":14694,""art_0.4"":7332,""aet_0.4"":8957,""ast_0.5"":18815,""art_0.5"":9742,""aet_0.5"":13937}","{""sst"":11635,""srt"":7156,""set"":10872,""ast_0.3"":14988,""art_0.3"":5410,""aet_0.3"":5602,""ast_0.4"":19316,""art_0.4"":7484,""aet_0.4"":8527,""ast_0.5"":23644,""art_0.5"":9558,""aet_0.5"":11452}","ISO 5211 F30",715,1165,175,420,110,144,176,620,"NPT3/4"""
SF35-550SR3,SF35,550,SR,SR3,21920,"{""sst"":9180,""srt"":4520,""set"":5400,""ast_0.3"":9260,""art_0.3"":4569,""aet_0.3"":5480,""ast_0.4"":14344,""art_0.4"":7661,""aet_0.4"":11193,""ast_0.5"":19281,""art_0.5"":10623,""aet_0.5"":16129}","{""sst"":7384,""srt"":4520,""set"":6879,""ast_0.3"":12825,""art_0.3"":5007,""aet_0.3"":5782,""ast_0.4"":19466,""art_0.4"":8183,""aet_0.4"":10267,""ast_0.5"":26107,""art_0.5"":11359,""aet_0.5"":14752}","ISO 5211 F35",833,1511,207.5,450,140,181,194,620,"NPT3/4"""
SF35-550SR4,SF35,550,SR,SR4,24038,"{""sst"":12297,""srt"":6131,""set"":7481,""ast_0.3"":7484,""art_0.3"":3307,""aet_0.3"":3539,""ast_0.4"":12066,""art_0.4"":5988,""aet_0.4"":7250,""ast_0.5"":17358,""art_0.5"":9231,""aet_0.5"":13413}","{""sst"":9729,""srt"":6016,""set"":9326,""ast_0.3"":14126,""art_0.3"":5341,""aet_0.3"":5929,""ast_0.4"":22042,""art_0.4"":9126,""aet_0.4"":11275,""ast_0.5"":29958,""art_0.5"":12912,""aet_0.5"":16621}","ISO 5211 F35",833,1511,207.5,450,140,181,194,620,"NPT3/4"""
SF35-550SR5,SF35,550,SR,SR5,25681,"{""sst"":14449,""srt"":7241,""set"":8907,""ast_0.3"":10750,""art_0.3"":5025,""aet_0.3"":5999,""ast_0.4"":15527,""art_0.4"":7909,""aet_0.4"":9984,""ast_0.5"":20624,""art_0.5"":10949,""aet_0.5"":15873}","{""sst"":11867,""srt"":7356,""set"":11458,""ast_0.3"":20575,""art_0.3"":8137,""aet_0.3"":9548,""ast_0.4"":31374,""art_0.4"":13301,""aet_0.4"":16841,""ast_0.5"":42172,""art_0.5"":18465,""aet_0.5"":24134}","ISO 5211 F35",833,1511,207.5,450,140,181,194,620,"NPT3/4"""
SF35-550SR6,SF35,550,SR,SR6,26733,"{""sst"":18185,""srt"":8970,""set"":10752,""ast_0.3"":13852,""art_0.3"":6514,""aet_0.3"":7863,""ast_0.4"":18569,""art_0.4"":9209,""aet_0.4"":11136,""ast_0.5"":23864,""art_0.5"":12439,""aet_0.5"":17950}","{""sst"":14520,""srt"":8949,""set"":13789,""ast_0.3"":18170,""art_0.3"":6544,""aet_0.3"":6791,""ast_0.4"":28968,""art_0.4"":11708,""aet_0.4"":14084,""ast_0.5"":39767,""art_0.5"":16872,""aet_0.5"":21377}","ISO 5211 F35",833,1511,207.5,450,140,181,194,620,"NPT3/4"""
SF35-600SR3,SF35,600,SR,SR3,25333,"{""sst"":11016,""srt"":5392,""set"":6378,""ast_0.3"":11069,""art_0.3"":5425,""aet_0.3"":6430,""ast_0.4"":16635,""art_0.4"":8797,""aet_0.4"":12690,""ast_0.5"":22520,""art_0.5"":12328,""aet_0.5"":18575}","{""sst"":9729,""srt"":6016,""set"":9326,""ast_0.3"":14126,""art_0.3"":5341,""aet_0.3"":5929,""ast_0.4"":22042,""art_0.4"":9126,""aet_0.4"":11275,""ast_0.5"":29958,""art_0.5"":12912,""aet_0.5"":16621}","ISO 5211 F35",851,1511,207.5,475,140,181,194,670,"NPT1"""
SF35-600SR4,SF35,600,SR,SR4,26976,"{""sst"":14449,""srt"":7241,""set"":8907,""ast_0.3"":8657,""art_0.3"":3769,""aet_0.3"":3906,""ast_0.4"":14356,""art_0.4"":7183,""aet_0.4"":8813,""ast_0.5"":20427,""art_0.5"":10830,""aet_0.5"":15675}","{""sst"":11867,""srt"":7356,""set"":11458,""ast_0.3"":15967,""art_0.3"":7261,""aet_0.3"":8236,""ast_0.4"":22179,""art_0.4"":10727,""aet_0.4"":12424,""ast_0.5"":27907,""art_0.5"":14323,""aet_0.5"":20273}","ISO 5211 F35",851,1511,207.5,475,140,181,194,670,"NPT1"""
SF35-600SR5,SF35,600,SR,SR5,28027,"{""sst"":18185,""srt"":8971,""set"":10752,""ast_0.3"":12707,""art_0.3"":5827,""aet_0.3"":6718,""ast_0.4"":18327,""art_0.4"":9058,""aet_0.4"":10894,""ast_0.5"":24477,""art_0.5"":12889,""aet_0.5"":18487}","{""sst"":14520,""srt"":8949,""set"":13789,""ast_0.3"":22471,""art_0.3"":10908,""aet_0.3"":12716,""ast_0.4"":28683,""art_0.4"":14374,""aet_0.4"":16002,""ast_0.5"":34907,""art_0.5"":17840,""aet_0.5"":19287}","ISO 5211 F35",851,1511,207.5,475,140,181,194,670,"NPT1"""
SF35-600SR6,SF35,600,SR,SR6,32078,"{""sst"":22471,""srt"":10908,""set"":12716,""ast_0.3"":15967,""art_0.3"":7261,""aet_0.3"":8236,""ast_0.4"":22179,""art_0.4"":10727,""aet_0.4"":12424,""ast_0.5"":27907,""art_0.5"":14323,""aet_0.5"":20273}","{""sst"":18289,""srt"":11218,""set"":17136,""ast_0.3"":21901,""art_0.3"":7710,""aet_0.3"":7726,""ast_0.4"":29816,""art_0.4"":11496,""aet_0.4"":13072,""ast_0.5"":37732,""art_0.5"":15281,""aet_0.5"":18418}","ISO 5211 F35",851,1511,207.5,475,140,181,194,670,"NPT1"""
SF35-700SR3,SF35,700,SR,SR3,29201,"{""sst"":14449,""srt"":7240,""set"":8907,""ast_0.3"":14840,""art_0.3"":7483,""aet_0.3"":9298,""ast_0.4"":23114,""art_0.4"":12443,""aet_0.4"":18363,""ast_0.5"":31142,""art_0.5"":17259,""aet_0.5"":26390}","{""sst"":11867,""srt"":7356,""set"":11458,""ast_0.3"":20575,""art_0.3"":8137,""aet_0.3"":9548,""ast_0.4"":31374,""art_0.4"":13301,""aet_0.4"":16841,""ast_0.5"":42172,""art_0.5"":18465,""aet_0.5"":24134}","ISO 5211 F35",851,1511,207.5,525,140,181,194,770,"NPT1"""
SF35-700SR4,SF35,700,SR,SR4,30253,"{""sst"":19069,""srt"":9491,""set"":11549,""ast_0.3"":13252,""art_0.3"":6154,""aet_0.3"":7262,""ast_0.4"":20114,""art_0.4"":10140,""aet_0.4"":12594,""ast_0.5"":29307,""art_0.5"":15787,""aet_0.5"":23317}","{""sst"":14520,""srt"":8949,""set"":13789,""ast_0.3"":22104,""art_0.3"":10059,""aet_0.3"":11427,""ast_0.4"":30207,""art_0.4"":15112,""aet_0.4"":18543,""ast_0.5"":38388,""art_0.5"":19693,""aet_0.5"":27846}","ISO 5211 F35",851,1511,207.5,525,140,181,194,770,"NPT1"""
